GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Thu Jan 02 16:43:20 GMT+05:30 2020,43:19.5,78.5319569,17.34493588,0,3.216,424.8184814,0,2.99566555,4.80125713,8.24922943,0.04130835,-,14.50980377,0.05052163,0.34602574,0.47367471,0.77105713,14.90196133,7.45098066,-,-,-,-,15.77645779,13.24478722,13.77858543,226.5809937,-,-,88,-,34.50980377,25.09803963,-,-,724,-,0.2272612,0.00378769,6.84973001,-8.59375,2.34375,-,-,3.21600008,424.8184815,0,17.34493637,78.53195953,28,0,-,43,4.20609426,0,12.24820328,8.16429329,0,34.59944534,0.08,0.685,4.31372547,608,0,0,14.50980377,0.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-7.97707605,-,13.89999962,14,-
Thu Jan 02 16:43:21 GMT+05:30 2020,43:20.4,78.53195873,17.34493388,0.19,3.216,425.0157471,165.9,2.81600451,5.70555067,7.26468754,0.0034101,-,14.50980377,-0.01832755,0.26861832,0.57134968,0.6512832,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,88,-,23.92156982,25.09803963,-,-,698.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,2.34375,-,-,3.21600008,425.0157471,165.8999939,17.34493446,78.53195953,26,0.68399996,-,43,4.20609426,0,12.24811459,8.16435146,0,34.59919357,0.08,0.685,4.31372547,608,0.68399996,0,14.50980377,0.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.89999962,14,-
Thu Jan 02 16:43:22 GMT+05:30 2020,43:21.4,78.53195868,17.34493407,0,3.216,425.1643677,0,2.75132656,5.87083817,6.87182951,0.01516942,-,14.50980377,0.00763717,0.3078104,0.56255889,0.67680085,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,88,-,23.92156982,25.09803963,-,-,698.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,2.34375,-,-0.78125,3.21600008,425.1643677,0,17.34493446,78.53195953,29,0.68399996,-,43,4.20609426,0,12.24811459,8.16435146,0,34.59919357,0.08,0.685,4.31372547,608,0,0,12.94117641,-1,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,14,-
Thu Jan 02 16:43:23 GMT+05:30 2020,43:22.4,78.5319574,17.34493582,0,3.216,425.3446045,0,2.90703297,5.16417265,6.73888016,0.02363787,-,14.50980377,0.03107792,0.34834552,0.49040154,0.73699307,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,88,-,23.92156982,25.09803963,-,-,698.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,1.5625,-,-0.78125,3.21600008,425.3446045,0,17.34493637,78.53195953,28,0.68399996,-,43,4.20609426,0,12.24811459,8.16435146,0,34.59919357,0.19,0.69,4.31372547,608,0,0,12.94117641,-1,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,14,-
Thu Jan 02 16:43:24 GMT+05:30 2020,43:23.4,78.53195509,17.34493452,0,3.216,424.8243408,0,2.90224171,5.15578842,7.92823505,0.02741235,-,14.50980377,0.01863739,0.3135488,0.51298892,0.72185344,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,88,-,23.92156982,25.09803963,-,-,698.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,1.5625,-,-0.78125,3.21600008,424.8243408,0,17.34493446,78.5319519,27,0.68399996,-,43,4.20609426,0,12.24811459,8.16435146,0,34.59919357,0.19,0.69,4.31372547,608,0,0,12.94117641,-1,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,13.39999962,-
Thu Jan 02 16:43:25 GMT+05:30 2020,43:24.4,78.53195645,17.34493397,0,3.216,425.2729492,0,2.61358666,5.4767828,5.40220356,0.01528886,-,12.94117641,0.01951031,0.26666486,0.52861691,0.72954535,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,88,-,23.92156982,25.09803963,-,-,698.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,1.5625,-,-0.78125,3.21600008,425.2729492,0,17.34493446,78.53195953,23,0.68399996,-,43,4.20609426,0,12.24811459,8.16435146,0,34.59919357,0.19,0.69,2.74509811,608,0,0,12.94117641,-1,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,13.39999962,-
Thu Jan 02 16:43:26 GMT+05:30 2020,43:25.4,78.53195607,17.34493472,0,3.216,425.3901367,0,2.59202743,5.80855608,7.33415699,0.00861567,-,12.94117641,0.02516239,0.21770525,0.66157693,0.65177161,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,88,-,23.92156982,17.25490189,-,-,698.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,1.5625,-,-0.78125,3.21600008,425.3901367,0,17.34493446,78.53195953,23,0.68399996,-,43,4.20609426,0,12.24811459,8.16435146,0,34.59919357,0.19,0.69,2.74509811,655,0,0,12.94117641,-1,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,13.39999962,-
Thu Jan 02 16:43:27 GMT+05:30 2020,43:26.4,78.53195607,17.34493464,0,3.216,425.4967651,0,10.47195435,0.9660964,7.10419083,0.07261177,-,12.94117641,0.04980985,0.9193778,0.3132436,0.29745573,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,88,-,23.92156982,17.25490189,-,-,698.5,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,1.5625,-,-0.78125,3.21600008,425.4967651,0,17.34493446,78.53195953,23,0.68399996,-,43,4.20609426,0,12.24811459,8.16435146,0,34.59919357,0.19,0.69,2.74509811,655,0,0,12.94117641,-1,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,13.39999962,-
Thu Jan 02 16:43:28 GMT+05:30 2020,43:27.4,78.53195381,17.34493599,0,3.216,424.9920654,0,5.86544847,-2.1408391,-2.57593751,0.00901724,-,12.94117641,-0.2467853,0.60693997,-0.29246327,-0.43620533,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,89,-,23.92156982,17.25490189,-,-,701,0.00998599,0.15812777,0.00263546,6.84938383,-8.59375,1.5625,-,-0.78125,3.21600008,424.9920654,0,17.34493637,78.5319519,20,0,-,43,4.20609426,0,12.24802685,8.16441059,0,34.59894562,0.19,0.69,2.74509811,655,0,0,12.94117641,-1,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.3579998,13.39999962,-
Thu Jan 02 16:43:29 GMT+05:30 2020,43:28.4,78.53194977,17.34493367,0.33,3.216,424.9390869,140.3,10.21923065,-2.44506502,-0.56613111,0.06664831,-,12.94117641,0.03783397,1.00630856,-0.22494544,-0.21448317,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,226.5809937,-,-,89,-,23.92156982,17.25490189,-,-,701,0.00998599,0.15812777,0.00263546,6.84938383,-7.8125,2.34375,-,2.34375,3.21600008,424.9390869,140.3000031,17.34493446,78.5319519,25,0,-,43,4.20609426,0,12.24802685,8.16441059,0,34.59894562,0.095,0.685,2.74509811,655,1.18799996,0,12.94117641,-1.5,-,11.45044231,8.73310566,32.34588242,-,0,0,0,-9.57249069,-,13.33399963,13.39999962,-
