 Device Time,Trip Time(Since journey start)(s),Engine RPM(rpm),Speed (OBD)(km/h),Engine kW (At the wheels)(kW),Torque(Nm),,,
35:45.3,0,683,0,-,-,#VALUE!,71.55238095,#VALUE!
35:46.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:47.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:48.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:49.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:50.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:51.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:52.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:53.3,0,670.5,0,-,-,#VALUE!,70.24285714,#VALUE!
35:54.3,0,685,0,-,-,#VALUE!,71.76190476,#VALUE!
35:55.3,0,685,0,-,-,#VALUE!,71.76190476,#VALUE!
35:56.3,0,685,0,-,-,#VALUE!,71.76190476,#VALUE!
35:57.3,0,673.5,0,-,-,#VALUE!,70.55714286,#VALUE!
35:58.3,0,673.5,0,-,-,#VALUE!,70.55714286,#VALUE!
35:59.3,0,669.75,0,-,-,#VALUE!,70.16428571,#VALUE!
36:00.3,0,669.75,0,-,-,#VALUE!,70.16428571,#VALUE!
36:01.3,0,633,0,-,-,#VALUE!,66.31428571,#VALUE!
36:02.3,0,633,0,-,-,#VALUE!,66.31428571,#VALUE!
36:03.3,0,1304.75,9,4.47112846,32.72290802,136.6360367,136.6880952,0.999619143
36:04.3,1,1304.75,9,4.47112846,32.72290802,136.6360367,136.6880952,0.999619143
36:05.3,2,2203.75,16,6.74026012,29.20628548,230.781149,230.8690476,0.999619271
36:06.3,3,2203.75,16,6.74026012,29.20628548,230.781149,230.8690476,0.999619271
36:07.3,4,1197.25,17,0.91409612,7.29069662,125.3784333,125.4261905,0.999619241
36:08.3,5,1197.25,17,0.91409612,7.29069662,125.3784333,125.4261905,0.999619241
36:09.3,6,1787.75,25,11.37101936,60.7371788,187.2167852,187.2880952,0.99961925
36:10.3,7,1787.75,25,11.37101936,60.7371788,187.2167852,187.2880952,0.99961925
36:11.3,8,2095.5,29,6.47925043,29.52562714,219.4449723,219.5285714,0.999619188
36:12.3,9,2095.5,29,6.47925043,29.52562714,219.4449723,219.5285714,0.999619188
36:13.3,10,1408.5,30,1.64088058,11.12454224,147.5009528,147.5571429,0.999619198
36:14.3,11,1408.5,30,1.64088058,11.12454224,147.5009528,147.5571429,0.999619198
36:15.3,12,1599.25,33,5.83121014,34.81804276,167.4766781,167.5404762,0.999619208
36:16.3,13,1783,33,5.83121014,34.81804276,167.4766781,186.7904762,0.896601805
36:17.3,14,1783,35,4.02005577,21.52993584,186.7193567,186.7904762,0.999619255
36:18.3,15,1327,37,4.21615839,30.33947372,138.9661017,139.0190476,0.999619146
36:19.3,16,1327,37,4.21615839,30.33947372,138.9661017,139.0190476,0.999619146
36:20.3,17,1457.75,39,4.52034426,29.61082458,152.6585066,152.7166667,0.999619164
36:21.3,18,1457.75,39,4.52034426,29.61082458,152.6585066,152.7166667,0.999619164
36:22.3,19,1548.75,42,7.54077864,46.49399948,162.1882119,162.25,0.99961918
36:23.3,20,1548.75,42,7.54077864,46.49399948,162.1882119,162.25,0.99961918
36:24.3,21,1608.25,43,2.60958409,15.49457741,168.4191844,168.4833333,0.999619256
36:25.3,22,1608.25,43,2.60958409,15.49457741,168.4191844,168.4833333,0.999619256
36:26.3,23,1642.5,46,8.06678486,46.89830017,172.0059113,172.0714286,0.999619244
36:27.3,24,1681.25,46,8.06678486,46.89830017,172.0059113,176.1309524,0.976579693
36:28.3,25,1681.25,46,8.06678486,46.89830017,172.0059113,176.1309524,0.976579693
36:29.3,26,1721.75,48,5.4840641,30.41546631,180.3051133,180.3738095,0.999619145
36:30.3,27,1721.75,48,5.4840641,30.41546631,180.3051133,180.3738095,0.999619145
36:31.3,28,1778.5,47,5.4840641,30.41546631,180.3051133,186.3190476,0.967722386
36:32.3,29,1778.5,47,5.4840641,30.41546631,180.3051133,186.3190476,0.967722386
36:33.3,30,1389.75,46,-,-,#VALUE!,145.5928571,#VALUE!
36:34.3,31,1389.75,46,-,-,#VALUE!,145.5928571,#VALUE!
36:35.3,32,1390,46,-,-,#VALUE!,145.6190476,#VALUE!
36:36.3,33,1390,46,-,-,#VALUE!,145.6190476,#VALUE!
36:37.3,34,1320,44,-,-,#VALUE!,138.2857143,#VALUE!
36:38.3,35,1320,44,-,-,#VALUE!,138.2857143,#VALUE!
36:39.3,36,1312.5,44,-,-,#VALUE!,137.5,#VALUE!
36:40.3,37,1310,44,-,-,#VALUE!,137.2380952,#VALUE!
36:41.3,38,1310,45,2.59397507,18.90847588,137.1858359,137.2380952,0.999619207
36:42.3,39,1286.25,43,2.59397507,18.90847588,137.1858359,134.75,1.018076705
36:43.3,40,1286.25,43,2.59397507,18.90847588,137.1858359,134.75,1.018076705
36:44.3,41,1283.75,43,-,-,#VALUE!,134.4880952,#VALUE!
36:45.3,42,1283.75,43,-,-,#VALUE!,134.4880952,#VALUE!
36:46.3,43,1227.75,42,-,-,#VALUE!,128.6214286,#VALUE!
36:47.3,44,1227.75,42,-,-,#VALUE!,128.6214286,#VALUE!
36:48.3,45,1228,42,-,-,#VALUE!,128.647619,#VALUE!
36:49.3,46,1228,42,-,-,#VALUE!,128.647619,#VALUE!
36:50.3,47,1217.25,42,-,-,#VALUE!,127.5214286,#VALUE!
36:51.3,48,1217.25,42,-,-,#VALUE!,127.5214286,#VALUE!
36:52.3,49,1259.25,44,4.69441223,35.59846878,131.8711841,131.9214286,0.999619133
36:53.3,50,1259.25,44,4.69441223,35.59846878,131.8711841,131.9214286,0.999619133
36:54.3,51,1306.5,44,4.69441223,35.59846878,131.8711841,136.8714286,0.96346758
36:55.3,52,1306.5,44,4.69441223,35.59846878,131.8711841,136.8714286,0.96346758
36:56.3,53,1325,45,2.51220107,18.10508347,138.7566688,138.8095238,0.999619226
36:57.3,54,1325,45,2.51220107,18.10508347,138.7566688,138.8095238,0.999619226
36:58.3,55,1342.25,45,2.51220107,18.10508347,138.7566688,140.6166667,0.986772564
36:59.3,56,1342.25,45,2.51220107,18.10508347,138.7566688,140.6166667,0.986772564
37:00.3,57,1365.5,45,-,-,#VALUE!,143.052381,#VALUE!
37:01.3,58,1365.5,45,-,-,#VALUE!,143.052381,#VALUE!
37:02.3,59,1370.25,47,5.35282898,37.30315399,143.4953458,143.55,0.999619267
37:03.3,60,1370.25,47,5.35282898,37.30315399,143.4953458,143.55,0.999619267
37:04.3,61,1259.75,42,5.35282898,37.30315399,143.4953458,131.9738095,1.087301687
37:05.3,62,1259.75,42,5.35282898,37.30315399,143.4953458,131.9738095,1.087301687
37:06.3,63,1259,42,-,-,#VALUE!,131.8952381,#VALUE!
37:07.3,64,1259,42,-,-,#VALUE!,131.8952381,#VALUE!
37:08.3,65,1278.5,43,2.37720537,17.75529861,133.887096,133.9380952,0.999619233
37:09.3,66,1278.5,43,2.37720537,17.75529861,133.887096,133.9380952,0.999619233
37:10.3,67,1343,46,7.40189695,52.62947845,140.641655,140.6952381,0.999619155
37:11.3,68,1343,46,7.40189695,52.62947845,140.641655,140.6952381,0.999619155
37:12.3,69,1397.25,46,7.40189695,52.62947845,140.641655,146.3785714,0.960807676
37:13.3,70,1397.25,46,7.40189695,52.62947845,140.641655,146.3785714,0.960807676
37:14.3,71,1461.75,50,10.75407124,70.25251007,153.0773951,153.1357143,0.999619167
37:15.3,72,1461.75,50,10.75407124,70.25251007,153.0773951,153.1357143,0.999619167
37:16.3,73,1518.75,52,5.82705593,36.63742447,159.0465491,159.1071429,0.999619164
37:17.3,74,1518.75,52,5.82705593,36.63742447,159.0465491,159.1071429,0.999619164
37:18.3,75,1577.5,52,5.82705593,36.63742447,159.0465491,165.2619048,0.962390875
37:19.3,76,1577.5,52,5.82705593,36.63742447,159.0465491,165.2619048,0.962390875
37:20.3,77,1625.25,54,5.96456099,35.04454041,170.1994354,170.2642857,0.999619119
37:21.3,78,1625.25,54,5.96456099,35.04454041,170.1994354,170.2642857,0.999619119
37:22.3,79,1670.25,57,9.68145466,55.35045242,174.9119336,174.9785714,0.999619166
37:23.3,80,1703.25,57,9.68145466,55.35045242,174.9119336,178.4357143,0.98025182
37:24.3,81,1703.25,58,3.20483422,17.96756363,178.3677679,178.4357143,0.999619211
37:25.3,82,1729,58,3.20483422,17.96756363,178.3677679,181.1333333,0.98473188
37:26.3,83,1729,58,3.20483422,17.96756363,178.3677679,181.1333333,0.98473188
37:27.3,84,1749,61,10.65686798,58.18375778,183.1588125,183.2285714,0.999619279
37:28.3,85,1749,61,10.65686798,58.18375778,183.1588125,183.2285714,0.999619279
37:29.3,86,1767,62,3.3404243,18.05207634,185.0437721,185.1142857,0.999619081
37:30.3,87,1767,62,3.3404243,18.05207634,185.0437721,185.1142857,0.999619081
37:31.3,88,1770,62,3.3404243,18.05207634,185.0437721,185.4285714,0.997924811
37:32.3,89,1770,62,3.3404243,18.05207634,185.0437721,185.4285714,0.997924811
37:33.3,90,1764.5,60,-,-,#VALUE!,184.852381,#VALUE!
37:34.3,91,1764.5,60,-,-,#VALUE!,184.852381,#VALUE!
37:35.3,92,1757.75,61,3.37748909,18.34842873,184.0751129,184.1452381,0.999619185
37:36.3,93,1757.75,61,3.37748909,18.34842873,184.0751129,184.1452381,0.999619185
37:37.3,94,1752.5,58,3.37748909,18.34842873,184.0751129,183.5952381,1.002613765
37:38.3,95,1752.5,58,3.37748909,18.34842873,184.0751129,183.5952381,1.002613765
37:39.3,96,1733.75,59,3.16770935,17.44700432,181.5617909,181.6309524,0.99961922
37:40.3,97,1733.75,59,3.16770935,17.44700432,181.5617909,181.6309524,0.99961922
37:41.3,98,1734.25,58,3.16770935,17.44700432,181.5617909,181.6833333,0.99933102
37:42.3,99,1734.25,58,3.16770935,17.44700432,181.5617909,181.6833333,0.99933102
37:43.3,100,1709.25,58,-,-,#VALUE!,179.0642857,#VALUE!
37:44.3,101,1709.25,58,-,-,#VALUE!,179.0642857,#VALUE!
