 Device Time,Trip Time(Since journey start)(s),Engine RPM(rpm),Speed (OBD)(km/h),Engine kW (At the wheels)(kW),Torque(Nm),Gear Status,Power/ Torque,W,H/J
22:43.1,0,902.75,0,-,-,,#VALUE!,94.57380952,#VALUE!
22:44.1,0,884.25,0,-,-,,#VALUE!,92.63571429,#VALUE!
22:45.1,0,884.25,0,-,-,,#VALUE!,92.63571429,#VALUE!
22:46.1,0,890.75,0,-,-,,#VALUE!,93.31666667,#VALUE!
22:47.1,0,895.25,0,-,-,,#VALUE!,93.78809524,#VALUE!
22:48.1,0,882.5,0,-,-,,#VALUE!,92.45238095,#VALUE!
22:49.1,0,882.5,0,-,-,,#VALUE!,92.45238095,#VALUE!
22:50.1,0,892.75,0,-,-,,#VALUE!,93.52619048,#VALUE!
22:51.1,0,864.5,0,-,-,,#VALUE!,90.56666667,#VALUE!
22:52.1,0,899,0,-,-,,#VALUE!,94.18095238,#VALUE!
22:53.1,0,917.25,0,-,-,,#VALUE!,96.09285714,#VALUE!
22:54.1,0,917.25,0,-,-,,#VALUE!,96.09285714,#VALUE!
22:55.1,0,912.75,0,-,-,,#VALUE!,95.62142857,#VALUE!
22:56.1,0,1221.75,0,-,-,,#VALUE!,127.9928571,#VALUE!
22:57.1,0,1926.5,1,0.04975804,0.24663588,,201.746964,201.8238095,0.999619244
22:58.1,1,1756.5,4,0.92197454,5.0122509,,183.9442116,184.0142857,0.999619192
22:59.1,2,1772.5,6,0.92197454,5.0122509,,183.9442116,185.6904762,0.990595831
23:00.1,3,1777,8,1.82320166,9.79736519,,186.0910178,186.1619048,0.999619219
23:01.1,4,1739.25,8,1.82320166,9.79736519,,186.0910178,182.2071429,1.021315712
23:02.1,5,1739.25,12,3.43162465,18.84082031,,182.1377516,182.2071429,0.999619163
23:03.1,6,2053.25,14,2.65323806,12.33946705,,215.0204745,215.102381,0.999619221
23:04.1,7,3005.75,18,4.82492352,15.32849884,,314.7681694,314.8880952,0.999619148
23:05.1,8,3005.75,18,4.82492352,15.32849884,,314.7681694,314.8880952,0.999619148
23:06.1,9,1726.75,20,2.40589595,13.3048315,,180.8287426,180.897619,0.999619252
23:07.1,10,1714.5,21,2.08312011,11.60216141,,179.5458653,179.6142857,0.99961907
23:08.1,11,1847.5,23,2.08312011,11.60216141,,179.5458653,193.547619,0.927657319
23:09.1,12,2079,26,7.51375532,34.51155853,,217.7170676,217.8,0.999619227
23:10.1,13,2079,26,7.51375532,34.51155853,,217.7170676,217.8,0.999619227
23:11.1,14,2578.75,32,12.89045525,47.73325348,,270.0518886,270.1547619,0.999619206
23:12.1,15,2866,36,15.10247326,50.3192215,,300.1332852,300.247619,0.999619202
23:13.1,16,3026.5,38,15.10247326,50.3192215,,300.1332852,317.0619048,0.946607841
23:14.1,17,2915.75,36,15.10247326,50.3192215,,300.1332852,305.4595238,0.982563194
23:15.1,18,2905.75,36,-,-,,#VALUE!,304.4119048,#VALUE!
23:16.1,19,2957.5,37,-,-,,#VALUE!,309.8333333,#VALUE!
23:17.1,20,3005,38,4.10084248,13.03138733,,314.6896317,314.8095238,0.99961916
23:18.1,21,2980.75,37,4.10084248,13.03138733,,314.6896317,312.2690476,1.007751598
23:19.1,22,2906,36,4.10084248,13.03138733,,314.6896317,304.4380952,1.033673632
23:20.1,23,2807,35,-,-,,#VALUE!,294.0666667,#VALUE!
23:21.1,24,2673.5,33,-,-,,#VALUE!,280.0809524,#VALUE!
23:22.1,25,2541,32,-,-,,#VALUE!,266.2,#VALUE!
23:23.1,26,2442.25,30,-,-,,#VALUE!,255.8547619,#VALUE!
23:24.1,27,2384,29,-,-,,#VALUE!,249.752381,#VALUE!
23:25.1,28,2276,28,-,-,,#VALUE!,238.4380952,#VALUE!
23:26.1,29,2174.75,27,-,-,,#VALUE!,227.8309524,#VALUE!
23:27.1,30,1889.25,23,-,-,,#VALUE!,197.9214286,#VALUE!
23:28.1,31,1889.25,23,-,-,,#VALUE!,197.9214286,#VALUE!
23:29.1,32,1573.75,19,-,-,,#VALUE!,164.8690476,#VALUE!
23:30.1,33,1422,18,-,-,,#VALUE!,148.9714286,#VALUE!
23:31.1,34,1612.5,20,0.96579909,5.71938181,,168.8642448,168.9285714,0.999619208
23:32.1,35,1953.75,24,0.96579909,5.71938181,3,168.8642448,204.6785714,0.825021611
23:33.1,36,2362.5,29,13.67998314,55.29372025,,247.4057285,247.5,0.999619105
23:34.1,37,2650.75,33,13.67998314,55.29372025,,247.4057285,277.697619,0.890917716
23:35.1,38,2874.25,36,15.25053883,50.66670227,,300.9972654,301.1119048,0.99961928
23:36.1,39,3138.75,39,11.08675194,33.72947693,,328.696231,328.8214286,0.999619254
23:37.1,40,2881.75,41,11.08675194,33.72947693,,328.696231,301.897619,1.088767219
23:38.1,41,2881.75,41,5.33937311,17.69277763,4,301.7826382,301.897619,0.99961914
23:39.1,42,1821,41,5.33937311,17.69277763,,301.7826382,190.7714286,1.581906895
23:40.1,43,2101.25,39,5.33937311,17.69277763,,301.7826382,220.1309524,1.370923239
23:41.1,44,2151.75,40,3.80368471,16.88008881,,225.3355864,225.4214286,0.999619192
23:42.1,45,2198,41,3.80368471,16.88008881,,225.3355864,230.2666667,0.978585349
23:43.1,46,2216.75,41,2.64576483,11.39715862,,232.1424943,232.2309524,0.999619094
23:44.1,47,2258.75,42,3.86130643,16.32405853,,236.5408347,236.6309524,0.999619163
23:45.1,48,2213.25,41,3.86130643,16.32405853,,236.5408347,231.8642857,1.020169337
23:46.1,49,2143.25,40,3.86130643,16.32405853,,236.5408347,224.5309524,1.05348876
23:47.1,50,2044.5,38,3.86130643,16.32405853,,236.5408347,214.1857143,1.104372602
23:48.1,51,1949.75,36,-,-,,#VALUE!,204.2595238,#VALUE!
23:49.1,52,1853.5,34,-,-,,#VALUE!,194.1761905,#VALUE!
23:50.1,53,1791.5,33,-,-,,#VALUE!,187.6809524,#VALUE!
23:51.1,54,1778.5,33,-,-,,#VALUE!,186.3190476,#VALUE!
23:52.1,55,1855.5,34,1.78901041,9.20691109,,194.3116853,194.3857143,0.999619164
23:53.1,56,1934,36,1.78901041,9.20691109,,194.3116853,202.6095238,0.95904517
23:54.1,57,2002,37,7.32035971,34.91647339,,209.6534672,209.7333333,0.999619202
23:55.1,58,2056.75,38,3.82210159,17.7452755,,215.3869964,215.4690476,0.999619197
23:56.1,59,2051.75,38,3.82210159,17.7452755,,215.3869964,214.9452381,1.002055213
23:57.1,60,2051.75,38,3.82210159,17.7452755,,215.3869964,214.9452381,1.002055213
23:58.1,61,2125,38,3.82210159,17.7452755,,215.3869964,222.6190476,0.967513781
23:59.1,62,2182.5,40,4.83331728,21.14720917,,228.5557986,228.6428571,0.999619238
24:00.1,63,2258,40,4.83331728,21.14720917,,228.5557986,236.552381,0.9661953
24:01.1,64,2343.5,43,8.18220997,34.60259628,,236.4623135,245.5095238,0.963149249
24:02.1,65,2433.25,45,8.34287453,32.74092865,,254.8148411,254.9119048,0.999619226
24:03.1,66,2548.5,47,8.59806728,32.2164917,,266.8840344,266.9857143,0.999619156
24:04.1,67,2606.75,48,8.59806728,32.2164917,,266.8840344,273.0880952,0.977281834
24:05.1,68,2645.5,49,6.19813538,22.37254333,,277.042055,277.147619,0.999619105
24:06.1,69,2666.75,50,4.64822054,16.64433479,,279.2674263,279.3738095,0.999619208
24:07.1,70,2681.75,50,4.64822054,16.64433479,,279.2674263,280.9452381,0.994027976
24:08.1,71,2693,50,4.64822054,16.64433479,,279.2674263,282.1238095,0.989875427
24:09.1,72,2697.5,50,4.64822054,16.64433479,,279.2674263,282.5952381,0.988224105
24:10.1,73,2697.5,50,-,-,,#VALUE!,282.5952381,#VALUE!
24:11.1,74,2695.75,50,-,-,,#VALUE!,282.4119048,#VALUE!
24:12.1,75,2596.5,48,-,-,,#VALUE!,272.0142857,#VALUE!
24:13.1,76,2489,46,-,-,,#VALUE!,260.752381,#VALUE!
24:14.1,77,2384.5,44,-,-,,#VALUE!,249.8047619,#VALUE!
24:15.1,78,2176.25,40,-,-,,#VALUE!,227.9880952,#VALUE!
24:16.1,79,1647,30,-,-,,#VALUE!,172.5428571,#VALUE!
24:17.1,80,1042.5,30,-,-,,#VALUE!,109.2142857,#VALUE!
24:18.1,81,914.5,18,-,-,,#VALUE!,95.8047619,#VALUE!
24:19.1,82,915.25,15,-,-,,#VALUE!,95.88333333,#VALUE!
24:20.1,83,901.25,14,-,-,2,#VALUE!,94.41666667,#VALUE!
24:21.1,84,891.5,13,-,-,,#VALUE!,93.3952381,#VALUE!
24:22.1,85,1111.75,14,-,-,,#VALUE!,116.4690476,#VALUE!
24:23.1,86,1282.75,17,-,-,,#VALUE!,134.3833333,#VALUE!
24:24.1,87,1591.5,20,7.8090148,46.85453415,,166.6650825,166.7285714,0.999619208
24:25.1,88,2003.25,25,11.48221493,54.7334137,,209.784374,209.8642857,0.999619222
24:26.1,89,2404.75,30,11.48221493,54.7334137,,209.784374,251.9261905,0.832721575
24:27.1,90,2871,36,20.82657051,69.27022552,,300.6568891,300.7714286,0.999619181
24:28.1,91,3185.25,40,20.82657051,69.27022552,,300.6568891,333.6928571,0.900998876
24:29.1,92,3339,42,16.7934761,48.02708435,,349.6667834,349.8,0.999619163
24:30.1,93,2024.75,40,16.7934761,48.02708435,3,349.6667834,212.1166667,1.648464446
24:31.1,94,2116.5,40,16.7934761,48.02708435,,349.6667834,221.7285714,1.577003726
24:32.1,95,2187.5,40,16.7934761,48.02708435,,349.6667834,229.1666667,1.525818691
24:33.1,96,2271,42,7.85633755,33.03429413,,237.8236847,237.9142857,0.999619186
24:34.1,97,2342.5,43,7.85633755,33.03429413,,237.8236847,245.4047619,0.969107864
24:35.1,98,2398,44,5.29297638,21.07719421,,251.1233861,251.2190476,0.999619211
24:36.1,99,2384,44,5.29297638,21.07719421,,251.1233861,249.752381,1.005489458
24:37.1,100,2301.5,42,5.29297638,21.07719421,,251.1233861,241.1095238,1.041532421
24:38.1,101,2157.75,40,5.29297638,21.07719421,,251.1233861,226.05,1.110919647
24:39.1,102,2080,37,-,-,,#VALUE!,217.9047619,#VALUE!
24:40.1,103,1946.25,36,-,-,,#VALUE!,203.8928571,#VALUE!
24:41.1,104,1946.25,36,-,-,,#VALUE!,203.8928571,#VALUE!
24:42.1,105,1757.5,34,-,-,,#VALUE!,184.1190476,#VALUE!
24:43.1,106,1487,28,-,-,,#VALUE!,155.7809524,#VALUE!
24:44.1,107,1487,28,-,-,,#VALUE!,155.7809524,#VALUE!
24:45.1,108,1099.25,21,-,-,,#VALUE!,115.1595238,#VALUE!
24:46.1,109,1179.5,22,-,-,,#VALUE!,123.5666667,#VALUE!
24:47.1,110,1303.25,24,4.54044056,33.2684288,,136.4789599,136.5309524,0.999619189
24:48.1,111,1434.25,26,4.54044056,33.2684288,,136.4789599,150.2547619,0.908317035
24:49.1,112,1528.5,29,9.29038334,58.04037476,,160.0675974,160.1285714,0.999619218
24:50.1,113,1729.5,32,8.74398422,48.27817535,,181.1167087,181.1857143,0.999619144
24:51.1,114,1853.25,34,8.74398422,48.27817535,,181.1167087,194.15,0.932869991
24:52.1,115,2008.5,37,11.4524765,54.44895935,,210.3341668,210.4142857,0.999619233
24:53.1,116,2167,40,11.50218105,50.68545151,,226.9325952,227.0190476,0.999619184
24:54.1,117,2289.25,43,11.50218105,50.68545151,,226.9325952,239.8261905,0.946237751
24:55.1,118,2442.5,45,14.31423092,55.9622879,,255.7835188,255.8809524,0.999619223
24:56.1,119,2654.25,49,18.25244141,65.66609192,,277.9583934,278.0642857,0.99961918
24:57.1,120,2632.5,50,18.25244141,65.66609192,4,277.9583934,275.7857143,1.007878142
24:58.1,121,1763.25,48,18.25244141,65.66609192,,277.9583934,184.7214286,1.504743632
24:59.1,122,1991.5,49,4.60679531,22.08923149,,208.553897,208.6333333,0.999619254
25:00.1,123,2132.5,51,4.60679531,22.08923149,,208.553897,223.4047619,0.933524851
25:01.1,124,2132.5,52,9.59125996,42.94856262,,223.3196963,223.4047619,0.999619231
25:02.1,125,2254.75,54,10.28808022,44.35796738,,231.933085,236.2119048,0.981885673
25:03.1,126,2257.5,55,3.6008215,15.2312603,,236.4099509,236.5,0.999619243
25:04.1,127,2228,55,3.6008215,15.2312603,,236.4099509,233.4095238,1.012854776
25:05.1,128,2216.25,54,3.6008215,15.2312603,,236.4099509,232.1785714,1.018224677
25:06.1,129,2209.75,54,3.6008215,15.2312603,,236.4099509,231.497619,1.021219794
25:07.1,130,2190.25,54,-,-,,#VALUE!,229.4547619,#VALUE!
25:08.1,131,2191.75,54,-,-,,#VALUE!,229.6119048,#VALUE!
25:09.1,132,2196.75,54,-,-,,#VALUE!,230.1357143,#VALUE!
25:10.1,133,2250.25,55,5.25783682,22.31199074,,235.6507262,235.7404762,0.999619285
25:11.1,134,2289.5,56,5.25783682,22.31199074,,235.6507262,239.852381,0.98248233
25:12.1,135,2344.5,57,7.20164299,29.33211327,,245.5207684,245.6142857,0.999619251
25:13.1,136,2399.5,59,10.93216705,43.50583649,,251.2804702,251.3761905,0.999619215
25:14.1,137,2474,60,10.93216705,43.50583649,,251.2804702,259.1809524,0.969517505
25:15.1,138,2474,61,7.58722258,29.28499603,,259.0822472,259.1809524,0.999619165
25:16.1,139,2568.75,62,6.17285728,23.44909859,,263.2449711,269.1071429,0.978216216
25:17.1,140,2544.75,62,6.17285728,23.44909859,,263.2449711,266.5928571,0.987441951
25:18.1,141,2554.75,62,6.17285728,23.44909859,,263.2449711,267.6404762,0.98357683
25:19.1,142,2563,63,6.15328074,22.99960327,,267.53856,268.5047619,0.996401547
25:20.1,143,2551,63,6.15328074,22.99960327,,267.53856,267.247619,1.001088657
25:21.1,144,2553,63,6.15328074,22.99960327,,267.53856,267.4571429,1.000304412
25:22.1,145,2554.5,62,-,-,,#VALUE!,267.6142857,#VALUE!
25:23.1,146,2558.25,62,-,-,,#VALUE!,268.0071429,#VALUE!
25:24.1,147,2549.75,63,6.16442871,23.0864563,,267.0149385,267.1166667,0.999619162
25:25.1,148,2564.5,63,6.16442871,23.0864563,,267.0149385,268.6619048,0.993869744
25:26.1,149,2573,63,6.16442871,23.0864563,,267.0149385,269.552381,0.990586459
25:27.1,150,2564.75,63,6.16442871,23.0864563,,267.0149385,268.6880952,0.993772866
25:28.1,151,2571,63,-,-,,#VALUE!,269.3428571,#VALUE!
25:29.1,152,2571,63,-,-,,#VALUE!,269.3428571,#VALUE!
25:30.1,153,2554,63,-,-,,#VALUE!,267.5619048,#VALUE!
25:31.1,154,2568,63,-,-,,#VALUE!,269.0285714,#VALUE!
25:32.1,155,2590.5,63,-,-,,#VALUE!,271.3857143,#VALUE!
