GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Drivers demand engine % torque(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 2 sensor 1(V),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Wed Aug 18 06:44:30 GMT+05:30 2021,44:29.6,73.78970863,18.63065788,0,4.288,497.2524414,0,9.2408905,-0.09014893,-0.75178528,-0.00272387,-,-,-0.02715928,0.96688145,-0.01431464,-0.20347977,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,28.62745094,16.07843208,-,897,-,-,-,-,-,-,-,-,-,-,-14.84375,-1.5625,4.28800011,497.2524414,0,18.6306572,73.789711,14,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:31 GMT+05:30 2021,44:30.6,73.78970863,18.63065787,0,4.288,497.2617798,0,9.4180603,-0.38464355,-0.15083313,-0.00266231,-,-,-0.01544595,0.98250109,-0.01407199,-0.15637663,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-14.84375,1.5625,4.28800011,497.2617798,0,18.6306572,73.789711,14,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:32 GMT+05:30 2021,44:31.6,73.78970863,18.63065788,0,4.288,497.2628174,0,9.29356384,-0.06860352,-0.76374817,0.0010421,-,-,-0.04072956,0.95833904,-0.00748163,-0.06680863,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,4.28800011,497.2628174,0,18.6306572,73.789711,15,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:32 GMT+05:30 2021,44:32.6,73.78970863,18.63065788,0,4.288,497.2628174,0,8.87936401,-0.25296021,-0.32321167,-0.00200609,-,-,-0.04225343,0.95199287,-0.02529755,-0.19859883,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,4.28800011,497.2628174,0,18.6306572,73.789711,15,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:34 GMT+05:30 2021,44:33.6,73.78970862,18.63065784,0,4.288,497.263916,0,9.58566284,-0.00636292,0.65122986,0.00001641,-,-,-0.06240615,0.93490952,-0.02285707,-0.16247858,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,4.28800011,497.263916,0,18.6306572,73.789711,15,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:35 GMT+05:30 2021,44:34.6,73.78970863,18.63065774,0,4.288,497.2745361,0,9.39411926,-0.17874146,-0.97444153,0.00277052,-,-,-0.01582878,0.97883964,-0.01504725,-0.00213221,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,4.28800011,497.2745361,0,18.6306572,73.789711,15,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:36 GMT+05:30 2021,44:35.6,73.78970863,18.63065772,0,4.288,497.2682495,0,9.31510925,-0.37266541,0.57701111,0.00345756,-,-,-0.05445028,0.94467145,-0.01699932,-0.07242063,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,4.28800011,497.2682495,0,18.6306572,73.789711,15,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:37 GMT+05:30 2021,44:36.6,73.78970866,18.63065767,0,5.36,497.270752,0,9.98788452,-0.07818604,0.28251648,0.00218832,-,-,-0.02386858,0.97444707,-0.02847063,-0.1427106,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,5.36000013,497.270752,0,18.6306572,73.789711,15,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:38 GMT+05:30 2021,44:37.6,73.78970867,18.63065763,0,5.36,497.2745361,0,9.6239624,0.3288269,-1.24977112,0.00033313,-,-,-0.04097746,0.95174867,0.0008166,-0.21519528,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,29.01960754,16.07843208,-,880.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,5.36000013,497.2745361,0,18.6306572,73.789711,15,0,-,29,4.931283,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
Wed Aug 18 06:44:39 GMT+05:30 2021,44:38.6,73.78970868,18.6306576,0,4.288,497.2736816,0,9.51622009,-0.10931396,0.11253357,0.00460102,-,-,-0.07114708,0.91587263,-0.0094337,-0.25253499,-,-,-,-,-,-,-,0,13.63354778,-,-,-,-,-,-,-,-,90,-,28.62745094,16.07843208,-,898.5,-,-,-,-,-,-,-,-,-,-,-15.625,1.5625,4.28800011,497.2736816,0,18.6306572,73.789711,14,0,-,29,5.07632065,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.89999962,-
