,TIME,SPEED,Latitude,Longitude,CARS,PERSONS,MOTORCYCLES,TRUCKS
18,0,2,18.6306575,73.78970872,0,2,0,0
19,1,4,18.6306575,73.78970872,0,1,0,0
20,2,7,18.6306575,73.78970873,0,1,0,0
21,3,7,18.6306575,73.78970874,0,2,0,0
22,4,7,18.6306575,73.78970875,0,2,0,0
23,5,7,18.6306575,73.78970875,0,1,0,0
24,6,10,18.6306575,73.78970875,0,1,0,0
25,7,12,18.630657,73.78973209,0,1,0,0
26,8,12,18.630657,73.78973209,0,2,0,0
27,9,12,18.63066217,73.78980195,1,0,0,0
28,10,13,18.63066625,73.7898432,0,0,0,0
29,11,13,18.63067325,73.78988551,0,1,0,0
30,12,14,18.63068403,73.78992762,0,1,0,0
31,13,14,18.63069223,73.78996966,0,1,2,1
32,14,14,18.63069998,73.79001028,0,3,1,1
33,15,14,18.63070471,73.79004739,1,5,1,1
34,16,14,18.63070779,73.7900864,2,4,1,0
35,17,16,18.630710600000004,73.79013272,1,0,1,0
36,18,19,18.63070737,73.79021197,1,1,0,0
37,19,21,18.63070532,73.79026031,0,0,0,0
38,20,21,18.63070839,73.79032498,0,0,0,0
39,21,24,18.63070734,73.79038414,0,0,0,0
40,22,24,18.63071498,73.79046616,0,0,0,0
41,23,24,18.63071552,73.79053583,0,0,0,0
42,24,25,18.63071009,73.79060169,0,0,0,0
43,25,25,18.63069795,73.79068552,0,0,0,0
44,26,25,18.630689,73.7907542,0,0,0,0
45,27,25,18.63068169,73.79082552,0,0,0,0
46,28,25,18.63067694,73.79090613,0,1,0,0
47,29,25,18.63066674,73.79096505,0,1,0,0
48,30,26,18.63065272,73.79102616,0,0,0,0
49,31,26,18.63064165,73.79108943,0,0,0,0
50,32,26,18.63063381,73.79115603,0,0,0,0
51,33,26,18.6306202,73.79122537,0,0,0,0
52,34,26,18.63062578,73.79128653,0,1,0,0
53,35,26,18.630602,73.79135432,0,0,0,0
54,36,26,18.63059074,73.79141751,0,1,0,0
55,37,27,18.63056848,73.79148814,0,1,0,0
56,38,27,18.63053533,73.79156004,0,0,0,0
57,39,27,18.63050952,73.79162485,0,1,0,0
58,40,27,18.63048378,73.7916891,0,1,0,0
59,41,27,18.63045481,73.79175163,0,1,1,0
60,42,26,18.63043387,73.79181163,0,1,0,0
61,43,25,18.63040874,73.79187513,0,1,0,0
62,44,25,18.6303825,73.79192855,0,1,0,0
63,45,25,18.63036675,73.79198538,0,1,0,0
64,46,25,18.63034389,73.79204574,0,1,0,0
65,47,24,18.63032099,73.79210735,0,1,0,0
66,48,24,18.6302953,73.79215458,0,1,0,0
67,49,20,18.6302953,73.79215458,0,1,0,0
68,50,18,18.6302953,73.79215458,0,1,0,0
69,51,16,18.6302953,73.79215458,0,1,0,0
70,52,16,18.6302953,73.79215458,0,1,0,0
71,53,14,18.6302953,73.79215458,0,1,0,0
72,54,14,18.6302953,73.79215458,0,1,0,0
73,55,15,18.6302953,73.79215458,0,1,0,0
74,56,16,18.6302953,73.79215458,0,1,0,0
75,57,16,18.6302953,73.79215458,1,1,0,0
76,58,17,18.6302953,73.79215458,1,0,0,0
77,59,17,18.6302953,73.79215458,1,1,0,0
78,60,17,18.6302953,73.79215458,0,1,0,0
79,61,16,18.6302953,73.79215458,1,1,0,0
80,62,16,18.6302953,73.79215458,1,2,0,0
81,63,17,18.6302953,73.79215458,0,1,0,0
82,64,17,18.6302953,73.79215458,0,0,0,0
83,65,18,18.6302953,73.79215458,0,0,0,0
84,66,16,18.6302953,73.79215458,0,0,0,0
85,67,13,18.6302953,73.79215458,0,0,0,0
86,68,5,18.6302953,73.79215458,0,0,0,0
87,69,5,18.6302953,73.79215458,0,0,0,0
88,70,1,18.6302953,73.79215458,0,0,0,0
