,TIME,SPEED,Latitude,Longitude,CARS,PERSONS,MOTORCYCLES,TRUCKS
0,39,4,17.34099551,78.53969005,0,0,0,0
1,40,3,17.34099291,78.53969305,0,0,0,0
2,41,1,17.34099149,78.5396944,0,0,0,0
3,42,0,17.340989999999998,78.53969678,0,0,0,0
4,43,0,17.34098959,78.53969768,0,0,0,0
5,44,0,17.34098937,78.53969815,0,0,0,0
6,45,1,17.34098656,78.53969579,1,0,0,0
7,46,2,17.34098571,78.53969395,1,0,0,0
8,47,1,17.34098601,78.53969195,1,0,0,0
9,48,0,17.34098428,78.53969214,1,0,0,0
10,49,0,17.34098452,78.53969169,1,0,0,0
11,50,0,17.34098506,78.53969173,1,0,0,0
12,51,0,17.3409844,78.53969105,1,0,0,0
13,52,4,17.34097881,78.53969471,1,0,0,0
14,53,3,17.34096747,78.53969218,0,0,0,0
15,54,2,17.34095892,78.53968622,0,0,0,0
16,55,0,17.34096153,78.53968431,0,0,0,0
17,56,0,17.34096205,78.53968446,0,0,0,0
18,57,0,17.34096218,78.53968449999999,0,0,0,0
19,58,1,17.34096227,78.53968451,0,0,0,0
20,59,1,17.34096331,78.53968293,0,0,0,0
21,60,2,17.34096627,78.53968384,0,0,0,0
22,61,2,17.34096854,78.53968288,0,0,0,0
23,62,1,17.34096891,78.53968236,0,0,0,0
24,63,0,17.34097104,78.53968287,0,0,0,0
25,64,0,17.34097168,78.53968318,0,0,0,0
26,65,0,17.34097183,78.53968322,0,0,0,0
27,66,2,17.34097189,78.53968324,0,0,0,0
28,67,6,17.34097466,78.53966967,0,0,0,0
29,68,9,17.34097623,78.53964914,0,0,0,0
30,69,13,17.34097832,78.53962029,0,0,0,0
31,70,14,17.34098445,78.53959177,0,0,0,0
32,71,15,17.34099351,78.53954915,0,0,0,0
33,72,16,17.34099674,78.53950776,0,0,0,0
34,73,19,17.34099695,78.53946039,0,0,0,0
35,74,21,17.34099538,78.53940628,0,0,0,0
36,75,21,17.34099211,78.53934834,0,0,0,0
37,76,22,17.34098576,78.53928645,0,0,1,0
38,77,22,17.34098876,78.53922698,0,1,0,0
39,78,19,17.34098856,78.53917344,0,0,0,0
40,79,20,17.34099129,78.53910832,0,1,0,0
41,80,20,17.34099943,78.53905208,0,1,0,0
42,81,20,17.34099953,78.53899923,0,1,0,0
43,82,19,17.34100347,78.5389593,1,1,1,0
44,83,16,17.34100164,78.53894405,1,1,0,0
45,84,15,17.34099547,78.53892949,0,0,1,0
46,85,14,17.34098893,78.53891006,1,0,1,0
47,86,13,17.34097565,78.53888093,1,0,0,0
48,87,10,17.34096408,78.53885255,1,0,0,0
49,88,7,17.34095713,78.53882981,1,0,0,0
50,89,6,17.34095204,78.53880984,1,0,0,0
51,90,5,17.34094721,78.53878503,0,0,0,0
52,91,6,17.34093941,78.53876146,0,0,0,0
