GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine reference torque(Nm),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Remaining (Calculated from vehicle profile)(%),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel trim bank 1 sensor 2(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 1 sensor 2(V),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Timing Advance(°),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Turbo Pressure Control(psi),Voltage (Control Module)(V),Voltage (OBD Adapter)(V)
Fri Mar 27 18:09:07 GMT+05:30 2020,27-Mar-2020 18:09:07.229,78.53972054,17.34097223,0.0,3.216,430.13134765625,0.0,9.74253082,-0.5119139,1.02566433,0.03101975,-,15.29411793,-0.00718608,0.98604089,-0.06195036,-0.00570293,14.50980377,7.45098066,-,-,-,-,11.98484802,7.71707296,13.77858543,273.30862427,-,-,80,-,36.86274719,27.45098114,-,-,744.5,-,0.23707317,0.00395122,4.78064728,-6.25,1.5625,-,-,3.21600008,430.13134766,0,17.3409729,78.53971863,15,0,-,39,4.6412077,0,12.12882519,8.24464989,0,34.26221848,0.125,0.82999998,5.09803915,353,0,0,15.29411793,1.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.68700027,-,13.66399956,13.80000019
Fri Mar 27 18:09:08 GMT+05:30 2020,27-Mar-2020 18:09:08.224,78.53972054,17.34097222,0.0,3.216,430.129638671875,0.0,10.03956985,-0.75984585,0.77413917,0.0316268,-,15.29411793,0.01490533,1.00740731,-0.06170616,0.00320991,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,82,-,29.01960754,27.45098114,-,-,768.5,-,0.23707317,0.00395122,4.78064728,-6.25,1.5625,-,-,3.21600008,430.12963867,0,17.3409729,78.53971863,15,0,-,39,5.07632065,0,12.12875843,8.24469566,0,34.26202774,0.125,0.82999998,5.09803915,353,0,0,15.29411793,1.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-8.70226479,-,13.66399956,13.80000019
Fri Mar 27 18:09:09 GMT+05:30 2020,27-Mar-2020 18:09:09.224,78.53972051,17.34097227,0.0,3.216,430.1331787109375,0.0,10.12460995,-0.74786854,0.90469265,0.05798298,-,15.29411793,0.00791122,1.00252354,-0.06903179,-0.02670304,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,82,-,29.01960754,27.45098114,-,-,768.5,-,0.23707317,0.00395122,4.78064728,-6.25,-1.5625,-,0,3.21600008,430.13317871,0,17.3409729,78.53971863,16,0,-,40,5.07632065,0,12.12875843,8.24469566,0,34.26202774,0.79999995,0.76999998,5.09803915,353,0,0,13.72549057,-5.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-8.70226479,-,13.80500031,13.80000019
Fri Mar 27 18:09:10 GMT+05:30 2020,27-Mar-2020 18:09:10.223,78.5397205,17.34097229,0.0,3.216,430.1337890625,0.0,10.00363731,-0.71792507,0.81845546,0.03274591,-,15.29411793,0.04320613,1.03707612,-0.07061901,-0.01620299,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,82,-,29.01960754,27.45098114,-,-,768.5,-,0.23707317,0.00395122,4.78064728,-6.25,-1.5625,-,0,3.21600008,430.13378906,0,17.3409729,78.53971863,16,0,-,40,5.07632065,0,12.12875843,8.24469566,0,34.26202774,0.79999995,0.76999998,5.09803915,353,0,0,13.72549057,-5.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-8.70226479,-,13.80500031,13.80000019
Fri Mar 27 18:09:11 GMT+05:30 2020,27-Mar-2020 18:09:11.223,78.5397205,17.34097228,0.0,3.216,430.134765625,0.0,10.11862087,-0.76463687,1.04842138,0.03402466,-,15.29411793,0.04026223,1.03145981,-0.07794463,0.00687272,14.50980377,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,82,-,29.01960754,27.45098114,-,-,768.5,-,0.23707317,0.00395122,4.78064728,-6.25,-1.5625,-,0,3.21600008,430.13476562,0,17.3409729,78.53971863,16,0,-,40,5.07632065,0,12.12875843,8.24469566,0,34.26202774,0.79999995,0.76999998,3.52941179,353,0,0,13.72549057,-5.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-8.70226479,-,13.80500031,13.89999962
Fri Mar 27 18:09:12 GMT+05:30 2020,27-Mar-2020 18:09:12.223,78.53972051,17.34097227,0.0,3.216,430.13409423828125,0.0,9.96291542,-0.75625265,0.728625,0.03128337,-,13.72549057,-0.00953418,0.98530847,-0.05254914,-0.01779021,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,82,-,29.01960754,19.6078434,-,-,768.5,-,0.23707317,0.00395122,4.78064728,-6.25,-1.5625,-,0,3.21600008,430.13409424,0,17.3409729,78.53971863,16,0,-,40,5.07632065,0,12.12875843,8.24469566,0,34.26202774,0.79999995,0.76999998,3.52941179,353,0,0,13.72549057,-5.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-8.70226479,-,13.80500031,13.89999962
Fri Mar 27 18:09:13 GMT+05:30 2020,27-Mar-2020 18:09:13.224,78.53972052,17.34097228,0.0,3.216,430.132080078125,0.0,9.89703941,-0.67001545,0.82683969,0.03146655,-,13.72549057,-0.01764606,0.97810489,-0.05438054,-0.03134261,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,82,-,29.01960754,19.6078434,-,-,768.5,-,0.23707317,0.00395122,4.78064728,-6.25,-1.5625,-,0,3.21600008,430.13208008,0,17.3409729,78.53971863,16,0,-,40,5.07632065,0,12.12875843,8.24469566,0,34.26202774,0.79999995,0.76999998,3.52941179,404,0,0,13.72549057,-5.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-8.70226479,-,13.80500031,13.89999962
Fri Mar 27 18:09:14 GMT+05:30 2020,27-Mar-2020 18:09:14.223,78.53972056,17.34097226,0.0,3.216,430.1279296875,0.0,9.59640694,-0.74547303,1.0112915,0.0258345,-,13.72549057,0.0170313,1.0111922,-0.06524689,-0.01705765,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,82,-,29.01960754,19.6078434,-,-,768.5,-,0.23707317,0.00395122,4.78064728,-6.25,-1.5625,-,0,3.21600008,430.12792969,0,17.3409729,78.53971863,17,0,-,40,5.07632065,0,12.12875843,8.24469566,0,34.26202774,0.79999995,0.76999998,3.52941179,404,0,0,13.72549057,-5.5,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-8.70226479,-,13.80500031,13.89999962
Fri Mar 27 18:09:15 GMT+05:30 2020,27-Mar-2020 18:09:15.223,78.53972056,17.34097231,0.0,3.216,430.1295166015625,0.0,9.80361557,-0.61252403,0.78012782,0.03046493,-,13.72549057,0.00045519,0.9943434,-0.05853174,-0.01009831,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,36.07843018,19.6078434,-,-,747.5,-,0.23707317,0.00395122,4.78064728,-6.25,-1.5625,-,-2.34375,3.21600008,430.1295166,0,17.3409729,78.53971863,18,0,-,40,5.94654703,0,12.12869072,8.24474144,0,34.26183701,0.79999995,0.76999998,3.52941179,404,0,0,15.29411793,6,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.8320384,-,13.73499966,13.89999962
Fri Mar 27 18:09:16 GMT+05:30 2020,27-Mar-2020 18:09:16.223,78.53972056,17.34097233,0.0,3.216,430.131103515625,0.0,10.00004482,-0.66282904,0.81246674,0.04396087,-,13.72549057,0.00723181,1.00142479,-0.06536897,-0.01815649,14.90196133,7.45098066,-,-,-,-,-,0,13.77858543,273.30862427,-,-,83,-,36.07843018,19.6078434,-,-,747.5,-,0.23707317,0.00395122,4.78064728,-6.25,-2.34375,-,-2.34375,3.21600008,430.13110352,0,17.3409729,78.53971863,18,0,-,40,5.94654703,0,12.12869072,8.24474144,0,34.26183701,0.095,0.76499999,3.52941179,404,0,0,15.29411793,6,-,6.44828939,15.50766563,18.21550751,-,0,0,0,-7.8320384,-,13.73499966,13.89999962
