GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-100kph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Catalyst Temperature (Bank 1 Sensor 1)(°C),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),CO₂ in g/km (Average)(g/km),DPF Pressure(psi),DPF Temperature(°C),Drivers demand engine % torque(%),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(°C),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(°C),Exhaust gas temp Bank 1 Sensor 2(°C),Exhaust gas temp Bank 1 Sensor 3(°C),Exhaust gas temp Bank 1 Sensor 4(°C),Exhaust gas temp Bank 2 Sensor 1(°C),Exhaust gas temp Bank 2 Sensor 2(°C),Exhaust gas temp Bank 2 Sensor 3(°C),Exhaust gas temp Bank 2 Sensor 4(°C),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,GPS vs OBD Speed difference(km/h),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),NOx Post SCR(ppm),NOx Pre SCR(ppm),O2 Sensor1 Equivalence Ratio,O2 Volts Bank 1 sensor 1(V),O2 Volts Bank 2 sensor 1(V),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Speed (GPS)(km/h),Speed (OBD)(km/h),Torque(Nm),Transmission Temperature(Method 1)(°C),Transmission Temperature(Method 2)(°C),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip Distance(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sat Aug 14 15:43:07 GMT+05:30 2021,14-Aug-2021 15:43:07.360,73.78824133,18.62855056,0.0,3.216,476.966064453125,0.0,-10.56394958,0.16363525,-0.46687317,-0.0288095,-,-,0.00269684,0.06150178,0.02513734,-0.04881101,-,-,-,-,14.69999981,24,-,0,-,541.79998779,-,-,-,-,-,-,-,87,-,38.03921509,29.01960754,-,672,-,-,-,-,-,-,-,-,0.94630122,15.77168655,2.34375,-1.5625,3.21600008,476.96606445,0,18.62855148,73.78823853,14,0,-,44,5.94654703,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13,-
Sat Aug 14 15:43:08 GMT+05:30 2021,14-Aug-2021 15:43:08.353,73.78824134,18.62855056,0.0,3.216,476.96697998046875,0.0,-10.12101746,0.12532043,-0.31842041,-0.02952662,-,-,0.02752694,0.03538764,0.0317277,-0.01464284,-,-,-,-,14.69999981,24,-,0,-,541.20001221,-,-,-,-,-,-,-,87,-,38.03921509,29.01960754,-,672,-,-,-,-,-,-,-,-,0.94630122,15.77168655,2.34375,-0.78125,3.21600008,476.96697998,0,18.62855148,73.78823853,14,0,-,44,5.94654703,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.10000038,-
Sat Aug 14 15:43:09 GMT+05:30 2021,14-Aug-2021 15:43:09.354,73.78824134,18.62855056,0.0,3.216,476.96649169921875,0.0,-10.38438416,0.06546021,-0.73980713,-0.00112653,-,-,0.05404309,0.00902928,0.03978017,-0.01537545,-,-,-,-,14.69999981,24,-,0,-,541.20001221,-,-,-,-,-,-,-,87,-,37.25490189,29.01960754,-,686,-,-,-,-,-,-,-,-,0.94035399,15.67256641,2.34375,0,3.21600008,476.9664917,0,18.62855148,73.78823853,13,0,-,44,5.94654703,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.10000038,-
Sat Aug 14 15:43:10 GMT+05:30 2021,14-Aug-2021 15:43:10.353,73.78824132,18.62855056,0.0,3.216,476.9630126953125,0.0,-10.42028809,0.28094482,-0.6799469,-0.02811649,-,-,0.06265569,0.00488095,0.02513734,-0.0942063,-,-,-,-,14.69999981,24,-,0,-,540.79998779,-,-,-,-,-,-,-,87,-,37.25490189,28.23529434,-,586.5,-,-,-,-,-,-,-,-,0.93653142,15.60885715,2.34375,0,3.21600008,476.9630127,0,18.62855148,73.78823853,14,0,-,44,5.80150938,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.10000038,-
Sat Aug 14 15:43:11 GMT+05:30 2021,14-Aug-2021 15:43:11.353,73.78824132,18.62855056,0.0,3.216,476.959228515625,0.0,-10.43226624,0.64247131,-1.6519928,-0.02219476,-,-,0.06647003,0.00707722,0.05369196,-0.14008844,-,-,-,-,14.69999981,24,-,0,-,538.09997559,-,-,-,-,-,-,-,87,-,74.11764526,28.23529434,-,586.5,-,-,-,-,-,-,-,-,0.93653142,15.60885715,2.34375,-1.5625,3.21600008,476.95922852,0,18.62855148,73.78823853,14,0,-,44,5.80150938,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,0,0,13.10000038,-
Sat Aug 14 15:43:12 GMT+05:30 2021,14-Aug-2021 15:43:12.353,73.78824131,18.62855062,0.0,3.216,476.97784423828125,0.0,-9.81695557,0.41981506,-1.89860535,-0.02995249,-,-,0.01488809,0.05954972,0.08615227,-0.13057074,-,-,-,-,14.69999981,24,4,0.2857143,-,538.09997559,-,-,-,-,-,-,-,87,1.02514529,69.80392456,43.92156982,-,1167.75,-,-,-,-,-,-,-,-,1.26109219,21.01820374,2.34375,-1.5625,3.21600008,476.97784424,0,18.62855148,73.78823853,14,4,1.37474251,44,9.13737774,-,-,-,-,-,-,-,9.01960754,0,4,8.38296413,-,-,-,-,-,0,0.23,0,13.10000038,-
Sat Aug 14 15:43:13 GMT+05:30 2021,14-Aug-2021 15:43:13.353,73.7882413,18.62855065,0.0,3.216,476.9730224609375,0.0,-10.38677979,0.21630859,-1.09893799,-0.02191314,-,-,0.09275059,-0.020989,0.00292888,-0.13252281,-,-,-,-,14.69999981,24,4,0.2857143,-,535.09997559,-,-,-,-,-,-,-,87,1.02514529,69.80392456,40.39215851,-,1167.75,-,-,-,-,-,-,-,-,1.26109219,21.01820374,2.34375,-0.78125,3.21600008,476.97302246,0,18.62855148,73.78823853,14,4,1.37474251,44,9.13737774,-,-,-,-,-,-,-,7.84313726,0,4,8.38296413,-,-,-,-,-,1,1.33299994,0,13.30000019,-
Sat Aug 14 15:43:14 GMT+05:30 2021,14-Aug-2021 15:43:14.353,73.78824132,18.62855066,0.0,3.216,476.98089599609375,0.0,-10.18087769,-1.13642883,-0.65361023,-0.01906853,-,-,0.01932824,0.04710315,-0.06687269,-0.02025639,-,-,-,-,14.69999981,24,7.5,1,-,535.09997559,-,-,-,-,-,-,-,87,4.62877131,45.09804153,40.39215851,-,1571.75,-,-,-,-,-,-,-,-,2.11234093,35.20568085,2.34375,-2.34375,3.21600008,476.980896,0,18.62855148,73.78823853,15,11,6.20728445,44,7.68700027,-,-,-,-,-,-,-,7.84313726,0,11,28.12187576,-,-,1.89360082,52.80834198,0.00374375,2,2.34599996,0,13.30000019,-
Sat Aug 14 15:43:15 GMT+05:30 2021,14-Aug-2021 15:43:15.353,73.78825242,18.62857399,3.28,3.216,476.2420654296875,22.0,-9.30699158,0.12532043,0.36152649,-0.11285496,-,-,-0.05985848,0.12398038,0.03807231,-0.04246641,-,-,-,-,14.69999981,24,7.5,1,-,532.40002441,-,-,-,-,-,-,-,87,4.62877131,45.09804153,36.07843018,-,1571.75,-,-,-,-,-,-,-,-,1.77025437,29.50424004,2.34375,-2.34375,3.21600008,476.24206543,22,18.62857437,73.78825378,15,11,6.20728445,44,4.78624535,-,-,-,-,-,-,-,9.01960754,11.80799961,11,28.12187576,-,-,4.05364466,24.66864586,0.00374375,3,3.4289999,0,13.5,-
Sat Aug 14 15:43:16 GMT+05:30 2021,14-Aug-2021 15:43:16.353,73.78826547,18.6286112,3.72,3.216,476.3856201171875,15.6,-9.81695557,0.53233337,-0.0574646,-0.04351787,-,-,-0.0563925,0.11958784,0.020989,-0.0270894,-,-,-,-,14.69999981,24,9.66666698,1.8125,-,531.59997559,-,-,-,-,-,-,-,87,2.7564013,21.56862831,36.07843018,-,1987.75,-,-,-,-,-,-,-,-,1.77025437,29.50424004,2.34375,-4.6875,3.21600008,476.38562012,15.60000038,18.62861061,73.78826904,15,2.19200039,3.69639492,44,4.78624535,-,-,-,-,-,-,-,9.01960754,13.3920002,14,13.2416687,-,-,4.05364466,24.66864586,0.00945903,4,4.454,0,13.5,-
Sat Aug 14 15:43:17 GMT+05:30 2021,14-Aug-2021 15:43:17.352,73.78827767,18.62864904,3.91,3.216,476.9510498046875,17.7,-10.16889954,0.14208984,-1.3838501,-0.00200113,-,-,0.07091595,-0.00829823,0.01391023,-0.00073261,-,-,-,-,14.69999981,24,10.75,2.52941179,-,531.59997559,-,-,-,538.32574463,-,-,-,86,2.7564013,46.66666794,24.70588303,-,1097.5,-,-,-,-,-,-,-,-,2.8493731,47.48955154,2.34375,-4.6875,3.21600008,476.9510498,17.70000076,18.62864876,73.78827667,15,0.07600021,3.69639492,44,6.09158516,-,-,-,-,-,-,-,0,14.07600021,14,13.2416687,-,-,4.3401885,23.03999519,0.01573958,5,5.39499998,0,13.5,-
Sat Aug 14 15:43:18 GMT+05:30 2021,14-Aug-2021 15:43:18.353,73.78828983,18.62868804,4.0,3.216,477.2467041015625,16.6,-10.19284058,1.58338928,-2.78205872,0.02667856,-,-,-0.00425846,0.07419255,-0.03563339,0.11690316,-,-,-,-,14.69999981,24,10.75,2.52941179,-,531.09997559,-,-,-,538.32574463,-,-,-,86,2.7564013,46.66666794,24.70588303,-,1097.5,-,-,-,-,-,-,-,-,2.8493731,47.48955154,2.34375,-2.34375,3.21600008,477.2467041,16.60000038,18.62868881,73.78829193,15,0.07600021,3.69639492,44,6.09158516,-,-,-,-,-,-,-,7.05882359,14.39999962,14,13.2416687,-,-,4.3401885,23.03999519,0.01573958,6,6.34899998,0,13.5,-
Sat Aug 14 15:43:19 GMT+05:30 2021,14-Aug-2021 15:43:19.353,73.78830308,18.62872946,4.41,3.216,477.11376953125,19.2,-9.06517029,-0.06620789,-0.7374115,-0.0290881,-,-,0.11277212,-0.04417427,-0.04515108,0.1051892,-,-,-,-,14.69999981,24,11.80000019,3.27777767,-,531.09997559,-,-,-,485.00613403,-,-,-,86,2.05029058,56.47058868,47.84313583,-,1209,-,-,-,-,-,-,-,-,2.28492856,38.08214188,2.34375,-1.5625,3.21600008,477.11376953,19.20000076,18.62872887,73.78829956,15,1.60000038,2.74948502,44,8.84730244,-,-,-,-,-,-,-,7.05882359,15.87599945,16,16.19388771,-,-,4.78689146,20.8899498,0.02276458,7,7.44000006,0,13.5,-
